"collection1"
"quote","quoteLink"
"Jeremy Grey:
[on the phone with Gloria]
Bunch those panties up into a little ball, and put that little ball right in your mouth. Oh, yeah...","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"[John walks in]"
"Jeremy Grey:
And, um, yeah. I will definitely call you back later, then. I'll talk to you soon. Thank you, Larry.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"[hangs up]"
"Jeremy Grey:
Are you kidding me? I love crab cakes! They're phenomenal!","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Jeremy Grey:
Never walk away from a crasher in a funny jacket! Rule #115!","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Flip:
Yeah! Crabcakes and Football. That's what Maryland does!","http://www.imdb.com/name/nm0960863/?ref_=tt_trv_qu"
"Jeremy Grey:
Just a couple of kids who like to fuck, tryin' to make it honest, I get it...","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Jeremy Grey:
Okay, what's our back story?","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
We're brothers from New Hampshire. We're venture capitalists.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
I'm sick of that. Let's be from Vermont. And let's have an emerging maple syrup conglomerate.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
Wait, that's stupid. We don't know anything about maple syrup.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
I happen to know everything there is to know about maple syrup! I love maple syrup. I love maple syrup on pancakes. I love it on pizza. And I take maple syrup and put a little bit in my hair when I've had a rough week. What do you think holds it up, slick?","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Jeremy Grey:
I got to get outta here, pronto. I got a stage five clinger. Stage five, virgin, clinger.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Jeremy Grey:
I felt like Jodie Foster in 'The Accused' last night.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Jeremy Grey:
Wow. Mr. Environmental is also a hunter. That's got to be an interesting combination.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Sack Lodge:
I hunt quail, Jeremy. They're overpopulated in this region and they're decimating the grubworm population. You got a fucking problem with that?","http://www.imdb.com/name/nm0177896/?ref_=tt_trv_qu"
"Jeremy Grey:
Not nearly as much as I do with the attire that you have on, or just your general point of view towards everybody. But let's go kill some birds. I'm psyched.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Todd Cleary:
Let's play tummy sticks.","http://www.imdb.com/name/nm1218757/?ref_=tt_trv_qu"
"Chazz Reinhold:
I almost numchucked you, you don't even realize!","http://www.imdb.com/name/nm0002071/?ref_=tt_trv_qu"
"Jeremy Grey:
[confessing to Father O'Neil]
You wanna know what the kicker is, father? Maybe I'm a little fucking crazy. That's right, maybe Jeremy's a little nuts. Maybe there's something about me that I'm a little cuckoo. I know it's a surprise, I know it's not on the surface. I mean, I had an imaginary friend when I was kid, and his name was Shiloh! We used to play checkers with each other every day, and bless his heart, Shiloh would always let me win!","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Old Italian Woman:
Who's that?","http://www.imdb.com/name/nm0686344/?ref_=tt_trv_qu"
"Old Italian Man:
That's Luigi and Gina's son Christopher, the Banker.","http://www.imdb.com/name/nm0673772/?ref_=tt_trv_qu"
"John Beckwith:
Claire's mom just made me grab her hooters.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
Well snap out of it! What, a hot older women made you feel her cans? Stop crying like a little girl.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
I wasn't crying like a little girl.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
Why don't you try getting jacked off under the table in front of the whole damn family and have some real problems, jackass. Hey, what were they like anyway? They looked pretty good, are they real? Are they built for speed or comfort? What'd you do with them? Motorboat? You play the motorboat?","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"[makes sputtering motorboat noise]"
"Jeremy Grey:
You motorboatin son of a bitch! You old sailor you! Where is she? She still in the house?","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
What's wrong with you?","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
What do you mean 'what's wrong with me?' What's wrong with you?","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
No, what's wrong with you?","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
No, what's wrong with you? You're projecting!","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
Drop it.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
You drop it! You stop projecting on me! Why don't you go enjoy yourself while I go ice my balls and spit up blood.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
Drop it!","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"[starts walking away]"
"Jeremy Grey:
Team player!","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Jeremy Grey:
Tattoo on the lower back? Might as well be a bullseye.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Chazz Reinhold:
What is she doing back there? I never know what she's doing.","http://www.imdb.com/name/nm0002071/?ref_=tt_trv_qu"
"John Beckwith:
Are you going to give a toast?","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Claire Cleary:
Yes.","http://www.imdb.com/name/nm1046097/?ref_=tt_trv_qu"
"John Beckwith:
Nervous?","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Claire Cleary:
A little bit.","http://www.imdb.com/name/nm1046097/?ref_=tt_trv_qu"
"John Beckwith:
What are you going to say?","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"[Claire pulls a piece of paper from inside her dress]"
"John Beckwith:
You keep it in your cleavage.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Claire Cleary:
Nowhere else to put it. Normally I'm not very good at these things, but I think this one's pretty good.","http://www.imdb.com/name/nm1046097/?ref_=tt_trv_qu"
"[John reads from Claire's notes]"
"John Beckwith:
'I never thought my sister would find someone who cared about what other people thought as much as she did - until I met Craig?'!","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Claire Cleary:
Yes, that's funny. It's funny because it's true. People like funny.","http://www.imdb.com/name/nm1046097/?ref_=tt_trv_qu"
"John Beckwith:
I know, but the whole funny-because-it's-true bit only works if the truth is a *small* thing like 'everyone knows Jennifer likes to shop, ha ha ha'. I think you're better off going with something from the heart. Honestly.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Claire Cleary:
I think people are going to like this.","http://www.imdb.com/name/nm1046097/?ref_=tt_trv_qu"
"John Beckwith:
I think you're going to hear crickets.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Claire Cleary:
I think you're wrong.","http://www.imdb.com/name/nm1046097/?ref_=tt_trv_qu"
"John Beckwith:
Sounds of silence. Go walk the plank.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Claire Cleary:
Uh uh. I'm sticking to it.","http://www.imdb.com/name/nm1046097/?ref_=tt_trv_qu"
"John Beckwith:
Ok, meet me at the back of the room. I'll be the guy waiting to say I told you so.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"John Beckwith:
Claire! Will you wait just a second? All I wanted is was a second alone with you so I could explain things. But I've never gotten that chance. Maybe I don't deserve it, so here goes. For longer than I care to remember, my business has been crashing weddings. I crashed weddings to meet girls. Business was good. I met a *lot* of girls. It was childish and it was juvenile.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Claire Cleary:
And pathetic.","http://www.imdb.com/name/nm1046097/?ref_=tt_trv_qu"
"John Beckwith:
Yeah. That's probably the best word to describe it. But you know what? It also led me to you, so it's hard for me to completely regret it. And that person that you met back at your folks' place? That was really me. Maybe not my name, I'm John Beckwith by the way. Or my job. But the feelings we felt; the jokes, the stupid laughs, that was all me. I've changed. I've realized something. I crashed a funeral today.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
[mutters]
Oh Jesus.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
It wasn't my idea, I was basically dragged to it.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"[to Jeremy]"
"John Beckwith:
I went with Chazz who you forgot to tell me is totally insane. He also might be a genius because it actually does work, he's cleaning up.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Claire Cleary:
John!","http://www.imdb.com/name/nm1046097/?ref_=tt_trv_qu"
"John Beckwith:
I'm sorry, I'm sorry. That's neither here nor there. Anyway, I saw this widow and she's a wreck. She has just lost the person she loved the most in this world and I realized we're all going to lose the people we love. That's the way it is, but not me. Not right now. Because the person *I* love the most is standing right here and I'm not ready to lose you yet. Claire, I'm not standing here asking you to marry me, I'm just asking you not to marry *him* and maybe take a walk, take a chance.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Todd Cleary:
We had a moment at the dinner table didn't we?","http://www.imdb.com/name/nm1218757/?ref_=tt_trv_qu"
"Jeremy Grey:
No! No! We did not have a moment at the dinner table, Todd!","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Jeremy Grey:
John? I need to see you right away. It's important.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
[Walking into Jeremy's office]
What's going on?","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
[sighs]
We got three big weeks ahead of us. It's wedding season, kid!","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
You sandbaggin' son of a bitch!","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
I've got us down for 17 of them already.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
Okay, now how many of them have cash bars?","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
Great question. I like where your head's at and two of them actually are, but I got us covered: Purple hearts. We won't have to pay for a drink all night.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
Oh, yeah. Perfect.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
We are gonna have tons and tons of opportunities to meet gorgeous ladies that get so aroused by the thought of marriage that they'll throw their inhibitions to the wind.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
And who's gonna be there to catch them?","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
Grab that net and catch that beautiful butterfly, pal! What do you like better, Christmas or Wedding Season?","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"[Jeremy raises his hand]"
"John Beckwith:
Mr. Grey?","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
Yes. The answer would be, um, Wedding Season?","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"[shimmy-shakes]"
"John Beckwith:
Bingo! I'm gonna get my suit. Now who are we this time?","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Claire Cleary:
Your brother. He's down again.","http://www.imdb.com/name/nm1046097/?ref_=tt_trv_qu"
"John Beckwith:
What is his deal?","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"John Beckwith:
What are you doing? It's a game of touch football, every time I look over you're on your ass again.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Claire Cleary:
Are you OK?","http://www.imdb.com/name/nm1046097/?ref_=tt_trv_qu"
"John Beckwith:
Yeah, I'm just swinging the jib for your dad, starboard.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Claire Cleary:
But starboard's *this* way.","http://www.imdb.com/name/nm1046097/?ref_=tt_trv_qu"
"John Beckwith:
That's right. What am I thinking? I'm used to sailing Down Under with the Kiwis so everything's backwards. Even the toilets, when you flush them, the water spins the opposite way. Really freaks you out the first time you see it.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"John Beckwith:
What are you going to do for an encore? Walk on water?","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Old Jewish Woman:
Who is that?","http://www.imdb.com/name/nm0816958/?ref_=tt_trv_qu"
"Old Jewish Man:
I think that's Sid's kid Leonard, the diabetic.","http://www.imdb.com/name/nm0193836/?ref_=tt_trv_qu"
"Old Chinese Man:
That's Mai Lin's adopted son Manni, the veterinarian.","http://www.imdb.com/name/nm0156874/?ref_=tt_trv_qu"
"Best Man:
After my ninth stint in rehab, Craig - ah Craig, Craig was the only one who still believed in me. Been sober now for eight months.","http://www.imdb.com/name/nm0132660/?ref_=tt_trv_qu"
"Father O'Neil:
As you know, Craig and Christina are quite the sailing enthusiasts. In that light, they have elected to exchange vows which they themselves have written.","http://www.imdb.com/name/nm0002099/?ref_=tt_trv_qu"
"Craig:
I, Craig, take you, Christina, to be my wife, my best friend and my first mate. Through sickness and health, clear skies and squalls.","http://www.imdb.com/name/nm0836176/?ref_=tt_trv_qu"
"Christina Cleary:
I, Christina, take you, Craig, to be my best friend and my captain... to be your anchor and your sail... your starboard and your port.","http://www.imdb.com/name/nm1124005/?ref_=tt_trv_qu"
"[Claire giggles silently, hiding behind the bouquet that she is holding]"
"Jeremy Grey:
[mutters]
Well this is a first!","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Father O'Neil:
And now I pronounce you husband and wife. You may kiss the first mate.","http://www.imdb.com/name/nm0002099/?ref_=tt_trv_qu"
"[Claire giggles again]"
"Chazz Reinhold:
So how's my protégé?","http://www.imdb.com/name/nm0002071/?ref_=tt_trv_qu"
"John Beckwith:
Jeremy, believe it or not, is getting married!","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Chazz Reinhold:
What? What an idiot! What a loser! Good! Good! More for you and me.","http://www.imdb.com/name/nm0002071/?ref_=tt_trv_qu"
"Jeremy Grey:
Listen, I'm getting married.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
Get out.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"[points at the door]"
"Jeremy Grey:
What? You just sat there and said you were happy for me, that I...","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
I'm hanging by a thread. I'm reading don't-kill-myself books.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
You said that the book wasn't yours.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
Don't worry about the book. It isn't mine. But I glanced at it.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
John, you've been my friend for 16 years. I'm getting married. I need you there to be my best man.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
Kindly leave!","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
I'm try...","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
[cuts him off; whispers]
Kindly leave.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
Buddy, for your own good you gotta let this go.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"[John has just referred to an aunt, only to be told by a guest that she is dead]"
"Jeremy Grey:
How many times you gonna do this shit? Rule #32: You don't commit to a relative unless you're absolutely positive they have a pulse.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
Rule #16: Give me an up-to-date family tree. That was your mistake. You made me look like an idiot.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
Rule #76: No excuses. Play like a champion!","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
I think we've got a crier.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
No shot.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
20 bucks.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
Make it 40.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"[Bride at alter bursts into tears]"
"Jeremy Grey:
[watching Gloria coming up the aisle]
Hello, Red! Dibs.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
[watching Claire coming up the aisle]
She's all yours. I ain't gonna fight you.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Father O'Neil:
And now for our next reading I'd like to ask the bride's sister Gloria up to the lectern.","http://www.imdb.com/name/nm0002099/?ref_=tt_trv_qu"
"John Beckwith:
20 bucks, First Corinthians.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
Double or nothing, Colossians 3:12.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Gloria Cleary:
And now a reading from Paul's first letter to the Corinthians.","http://www.imdb.com/name/nm0279545/?ref_=tt_trv_qu"
"Claire Cleary:
[to Sack]
I can't marry you.","http://www.imdb.com/name/nm1046097/?ref_=tt_trv_qu"
"Sack Lodge:
Secretary. Your daughter's a little...","http://www.imdb.com/name/nm0177896/?ref_=tt_trv_qu"
"Secretary Cleary:
Sack, I've always liked you. So I put up with your stories about scallops and otters, and it's all good because you seem to make her happy and that's what matters to me most. But this is *her* decision.","http://www.imdb.com/name/nm0000686/?ref_=tt_trv_qu"
"[he makes a mock salute to her]"
"Secretary Cleary:
I stand by my daughter.","http://www.imdb.com/name/nm0000686/?ref_=tt_trv_qu"
"Sack Lodge:
[waving him off]
You don't know shit.","http://www.imdb.com/name/nm0177896/?ref_=tt_trv_qu"
"John Beckwith:
How long have you and the Secretary been married?","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Kathleen Cleary:
30 years next April.","http://www.imdb.com/name/nm0005412/?ref_=tt_trv_qu"
"John Beckwith:
That's beautiful.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Kathleen Cleary:
Yeah. And we were faithful for two of them.","http://www.imdb.com/name/nm0005412/?ref_=tt_trv_qu"
"John Beckwith:
Secretary Cleary, I'm John Ryan.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Secretary Cleary:
Hi, John.","http://www.imdb.com/name/nm0000686/?ref_=tt_trv_qu"
"John Beckwith:
I just wanted to tell you how much I enjoyed your position paper on economic expansion in Micronesia.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Secretary Cleary:
You've read my position paper?","http://www.imdb.com/name/nm0000686/?ref_=tt_trv_qu"
"John Beckwith:
I read it while I was sailing my boat to Bermuda.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Secretary Cleary:
A sailor? Good man! Take a seat. You didn't happen to catch my speech on the Paraguayan debt and money supply issue did you?","http://www.imdb.com/name/nm0000686/?ref_=tt_trv_qu"
"John Beckwith:
Are you kidding me? I thought it was great! Your argument for the inverse ratio of capitalization to debt was genius. Now if we could just get Congress not to be so short-sighted.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Secretary Cleary:
Yes! Well put. Short-sighted. John, what d'you say we head onto the deck and light up a couple of cigars?","http://www.imdb.com/name/nm0000686/?ref_=tt_trv_qu"
"John Beckwith:
Stogies?","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Secretary Cleary:
Yeah.","http://www.imdb.com/name/nm0000686/?ref_=tt_trv_qu"
"John Beckwith:
Why not?","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
I'm not perfect, but who are we kidding, neither are you.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
Sorry I'm late.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
No problem.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
I'm sorry I called you white trash.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
Apology accepted.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
And I'm sorry I called you hillbilly. I don't even know what that means.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
John, it's OK. Do you mind if I get married now?","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Jeremy Grey:
Gloria, I've been doing a lot of soul searching recently, and I think I'm ready to take this relationship, our relationship to the next level.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Gloria Cleary:
Jeremy, I am so ready to take it to the next level.","http://www.imdb.com/name/nm0279545/?ref_=tt_trv_qu"
"Jeremy Grey:
Really?","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Gloria Cleary:
Yeah. Do you want to watch me with another girl? How about those Brazilian twins we met at the ball game?","http://www.imdb.com/name/nm0279545/?ref_=tt_trv_qu"
"Jeremy Grey:
I was thinking more along the lines of an engagement.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Gloria Cleary:
[Overwhelmed with emotion and happiness. Ecstatic]
Oh Jeremy, I do!","http://www.imdb.com/name/nm0279545/?ref_=tt_trv_qu"
"Jeremy Grey:
I love you.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Gloria Cleary:
I love you.","http://www.imdb.com/name/nm0279545/?ref_=tt_trv_qu"
"Claire Cleary:
Don't you think that's really soon?","http://www.imdb.com/name/nm1046097/?ref_=tt_trv_qu"
"Secretary Cleary:
Well, you know Gloria, she's impetuous. Has to have what she wants, when she wants it. We had to give her a sweet sixteen on her thirteenth birthday!","http://www.imdb.com/name/nm0000686/?ref_=tt_trv_qu"
"Chazz Reinhold:
[John has come to visit]
Oh, come in, sit down, I was-hey, you want something to eat?","http://www.imdb.com/name/nm0002071/?ref_=tt_trv_qu"
"[shouting]"
"Chazz Reinhold:
HEY MOM! CAN WE GET SOME MEATLOAF?","http://www.imdb.com/name/nm0002071/?ref_=tt_trv_qu"
"Jeremy Grey:
Does anyone know what this here is used for?","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Little Boy:
Rollin' a fatty?"
"Jeremy Grey:
No... Not for... Where'd you learn that?","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Claire Cleary:
Well... you're not that young.","http://www.imdb.com/name/nm1046097/?ref_=tt_trv_qu"
"Sack Lodge:
Are you not getting enough attention?","http://www.imdb.com/name/nm0177896/?ref_=tt_trv_qu"
"[the men are hunting quails in the forest; Secretary Cleary blows his quail whistle]"
"Sack Lodge:
There's something not right about these guys.","http://www.imdb.com/name/nm0177896/?ref_=tt_trv_qu"
